timestamp,TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3,n_danger,event,location
2023-06-30 22:38:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:40:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:42:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:44:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:46:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:48:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:50:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:52:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:54:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:56:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
